Date,High,Low,Open,Close,Volume,Adj Close,Year,Month,Day,DayOfWeek,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,BB_middle,BB_upper,BB_lower
1998-03-13,0.0006246635088689825,0.0006318870269968475,0.0006601230001898072,0.0006162551308994599,0.054538564823452186,0.0006162551308994599,1998,3,13,4,0.000458750166380004,0.0002867961186267065,0.0005631398792066367,0.0004526379250141978,70.12751682553044,0.00011050195419243887,9.87159263569457e-05,1.1786027835493173e-05,0.000458750166380004,0.0007990894355846404,0.00011841089717536763
1998-03-16,0.0006218996789967481,0.0006600960894115823,0.0006587301656294472,0.0006232419799426367,0.023496852038562402,0.0006232419799426367,1998,3,16,0,0.0004774753747096896,0.000295180542176359,0.0005723863562429444,0.0004652752624163044,70.39711764070125,0.00010711109382663994,0.00010039495985088455,6.716133975755384e-06,0.0004774753747096896,0.0008102898752910237,0.00014466087412835538
1998-03-17,0.0006108436003529304,0.0006347077782803674,0.0006629081593015347,0.0006428057201825926,0.021455244620722118,0.0006428057201825926,1998,3,17,1,0.0004977377358858883,0.00030429161747279673,0.0005832201045413518,0.0004784256666952887,70.28986733141933,0.00010479443784606308,0.00010127485544992026,3.5195823961428185e-06,0.0004977377358858883,0.0008181646994626752,0.00017731077230910146
1998-03-18,0.000732459453228419,0.0006657381085051338,0.0006517670128456325,0.0007643798616525541,0.12352401547058954,0.0007643798616525541,1998,3,18,2,0.0005250569783539676,0.000316952097032772,0.0006110908364046137,0.0004996074589143454,68.99811840871928,0.00011148337749026821,0.00010331655985798985,8.16681763227836e-06,0.0005250569783539676,0.0008381448411982512,0.00021196911550968396
1998-03-19,0.0007711556019559679,0.0007672913530299926,0.0007882479694641563,0.0007350343792287702,0.10859476122763247,0.0007350343792287702,1998,3,19,3,0.0005488128408134448,0.00032855054790397603,0.0006301590737621762,0.0005170464900487473,61.61825828600254,0.0001131125837134289,0.00010527576462907766,7.836819084351232e-06,0.0005488128408134448,0.0008490298137642572,0.0002485958678626323
1998-03-20,0.0007131116319162713,0.0007531865635593694,0.0007576094342036808,0.0007350343792287702,0.05347136094594477,0.0007350343792287702,1998,3,20,4,0.0005720097502320217,0.00034045642934448254,0.0006462937361416521,0.0005331937410991194,63.19149143396996,0.00011309999504253271,0.00010684061071176867,6.259384330764041e-06,0.0005720097502320217,0.000852951245584684,0.0002910682548793595
1998-03-23,0.00071034754899241,0.0007447237931822979,0.0007478608673036422,0.0007308421674539439,0.020527241248976535,0.0007308421674539439,1998,3,23,0,0.0005931804196948943,0.0003531728067672709,0.0006593011871127739,0.0005478343652735509,74.06484860910511,0.00011146682183922304,0.00010776585293725955,3.7009689019634843e-06,0.0005931804196948943,0.0008532084704851165,0.0003331523689046721
1998-03-24,0.0007545716105160545,0.000739082032352002,0.0007241854848269815,0.0007406239096377719,0.046395335236384685,0.0007406239096377719,1998,3,24,1,0.0006148401762669583,0.0003679852849600263,0.0006718123751935428,0.0005621150722634932,72.70341787591684,0.0001096973029300496,0.00010815214293581756,1.5451599942320417e-06,0.0006148401762669583,0.0008451132270939936,0.0003845671254399232
1998-03-25,0.000732459453228419,0.0007052309508437157,0.0007798919821199815,0.0006833305192966799,0.10061393223062044,0.0006833305192966799,1998,3,25,2,0.0006325173444465524,0.0003814283141295999,0.0006735843973632562,0.0005710939942659514,63.47609271880547,0.00010249040309730478,0.00010701979496811502,-4.529391870810239e-06,0.0006325173444465524,0.0008211735493113129,0.0004438611395817919
1998-03-26,0.0006882356447564014,0.0006713798693354293,0.000707473510138632,0.000707086215439162,0.06763501240721174,0.000707086215439162,1998,3,26,3,0.0006436965715815508,0.0003935018840410995,0.0006787385232210879,0.0005811674921306336,62.4352488909297,9.757103109045429e-05,0.00010513004219258289,-7.559011102128602e-06,0.0006436965715815508,0.0008213499128962872,0.0004660432302668144
