Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,DayOfWeek,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,BB_middle,BB_upper,BB_lower
2002-08-02,0.0007349602477263971,0.0006810692470440703,0.0005249775587405483,0.000585838211780499,0.000585838211780499,0.01971352564491391,2002,8,2,4,0.0010082723320857317,0.0010132214209731482,0.0008586576358398924,0.0009517577080000282,23.632502094951874,-9.310007216013576e-05,-4.347730187944191e-05,-4.962277028069385e-05,0.0010082723320857317,0.001407126439585918,0.0006094182245855453
2002-08-05,0.0005790898057845015,0.0005740149812824322,0.0006041397997856335,0.0005817055209877659,0.0005817055209877659,0.01090092978518756,2002,8,5,0,0.000979290409469014,0.0010010293611335214,0.0008160496181703345,0.0009243464348880087,24.105138902602377,-0.0001082968167176742,-5.644120484708837e-05,-5.1855611870585825e-05,0.000979290409469014,0.0014139423878051414,0.0005446384311328868
2002-08-06,0.0006038639253325177,0.0005607602357909314,0.0005780994546011059,0.0005610406205099975,0.0005610406205099975,0.009072554439659281,2002,8,6,1,0.0009503601274057797,0.0009880313904264588,0.0007768174646841288,0.0008974348930822301,24.945402859792082,-0.00012061742839810134,-6.927644955729098e-05,-5.134097884081036e-05,0.0009503601274057797,0.0014159917387354785,0.00048472851607608104
2002-08-07,0.0005532838527559231,0.0005464863336893795,0.0005780994546011059,0.0006085687343975824,0.0006085687343975824,0.007651447536025926,2002,8,7,2,0.0009235996164972877,0.0009775131499161647,0.0007509330446400448,0.0008760373998463304,21.704379312374613,-0.00012510435520628562,-8.044203068708991e-05,-4.466232451919571e-05,0.0009235996164972877,0.0014037199530590795,0.0004434792799354959
2002-08-08,0.0006048972039580109,0.0005607602357909314,0.0005895570898206184,0.0006127028717044187,0.0006127028717044187,0.006182681559404868,2002,8,8,3,0.0008893999005333506,0.0009686274452226986,0.00072966686418841,0.0008565311385024851,20.713437611263174,-0.00012686427431407511,-8.972647941248696e-05,-3.713779490158815e-05,0.0008893999005333506,0.0013548394500937676,0.0004239603509729336
2002-08-09,0.0006079927043996986,0.0005862505701638823,0.0006301801449701614,0.0005992705417424588,0.0005992705417424588,0.003760734123029731,2002,8,9,4,0.0008589714638134714,0.0009604029710560699,0.0007096058915044175,0.0008374747980017423,19.03114075102738,-0.00012786890649732485,-9.735496482945455e-05,-3.0513941667870305e-05,0.0008589714638134714,0.001316255204261828,0.0004016877233651148
2002-08-12,0.0006141865955729352,0.0005658588736216058,0.0005937233700576231,0.000555875118647607,0.000555875118647607,0.00571042347252671,2002,8,12,0,0.0008310744267741255,0.000951165937017228,0.0006859550033726004,0.0008166155624940286,18.857119999999995,-0.0001306605591214282,-0.00010401608368784928,-2.664447543357891e-05,0.0008310744267741255,0.0012909649919111026,0.0003711838616371482
2002-08-13,0.0005636065229963406,0.0005627999764012431,0.0005947660338201218,0.0005786056412646904,0.0005786056412646904,0.004306647140888884,2002,8,13,1,0.0008055020825499705,0.0009408750306633866,0.0006694397168944603,0.0007989851979585221,21.948301841527112,-0.00012954548106406175,-0.00010912196316309178,-2.042351790096997e-05,0.0008055020825499705,0.0012616215873570153,0.0003493825777429257
2002-08-14,0.0005749610267173208,0.0006035819420955865,0.0006197651735131475,0.0006664292985240514,0.0006664292985240514,0.011641811737996412,2002,8,14,2,0.0007870073148554703,0.000932650556496758,0.000668976575606705,0.0007891662424448576,32.85015251222464,-0.00012018966683815255,-0.00011133550389810394,-8.854162940048613e-06,0.0007870073148554703,0.0012336167202098825,0.000340397909501058
2002-08-15,0.0006637348346689672,0.0007136951050775872,0.0007093438442862429,0.0007377221926124802,0.0007377221926124802,0.009215531658622393,2002,8,15,3,0.0007677376495559067,0.0009250046879713939,0.0006795528243768243,0.0007853555720869037,51.201141862547665,-0.0001058027477100794,-0.00011022895266049903,4.426204950419633e-06,0.0007677376495559067,0.0011856192058280774,0.00034985609328373583
2002-08-16,0.0007442496393413214,0.0007330676450098133,0.0007447594137072788,0.000781117615707332,0.000781117615707332,0.00477457258476816,2002,8,16,4,0.0007498628578060218,0.0009172141680357138,0.0006951781768892102,0.0007850416493921206,53.63760549934694,-8.986347250291042e-05,-0.00010615585662898131,1.629238412607089e-05,0.0007498628578060218,0.0011298098697926154,0.0003699158458194281
2002-08-19,0.0007907009328507353,0.0008187110576191237,0.0008332968789888725,0.0008813407918589954,0.0008813407918589954,0.005537117752571423,2002,8,19,0,0.0007362243272586563,0.0009132672675143908,0.000723818579192254,0.0007921749192044817,56.375823791725146,-6.835634001222768e-05,-9.859595330563059e-05,3.0239613293402912e-05,0.0007362243272586563,0.001072099647893994,0.0004003490066233185
2002-08-20,0.0008774096286963261,0.0008319643757204144,0.0008385058229883759,0.0008296799871786775,0.0008296799871786775,0.006975555228200306,2002,8,20,1,0.000721759186227039,0.0009071919082811116,0.0007401049496517038,0.0007949530723877554,49.32440613577717,-5.48481227360516e-05,-8.98463871917148e-05,3.49982644556632e-05,0.000721759186227039,0.001009729651504121,0.0004337887209499569
2002-08-21,0.0008309583351869122,0.0008003591016871586,0.0008343380844803746,0.0008617087024508843,0.0008617087024508843,0.007716437181009158,2002,8,21,2,0.0007112202460999285,0.0009018398060994131,0.0007588132193131163,0.000799897933873913,57.894639889310056,-4.108471456079675e-05,-8.009405266553119e-05,3.900933810473444e-05,0.0007112202460999285,0.0009575650303559909,0.000464875461843866
